Nombre;Nombre Largo;CAEDED;Descripcion
SOCIEDAD INDUSTRIAL Y COMERCIAL TREBOL;SOCIEDAD INDUSTRIAL Y COMERCIAL TREBOL L;74990;OTROS SERV EMPRESARIALES NCP
ESTANCIAS SAN JUAN;ESTANCIAS SAN JUAN;1111;CULTIVO DE CEREALES
ARTESANIAS PUNCHAY;ARTESANIAS PUNCHAY;1129;OTROS CULTIVOS HORTALIZAS,LEGUMBRES Y ES
EMPRESA MINERA CLAVIJO SRL;EMPRESA MINERA CLAVIJO SRL;1111;CULTIVO DE CEREALES
EMPRESA MINERA BERNAL HNOS. LTDA.;EMPRESA MINERA BERNAL HNOS. LTDA.;14290;EXPLOTACION DE OTRAS MINAS Y CANTERAS NC
EMPRESA MINERA YANA MALLCU;EMPRESA MINERA YANA MALLCU;1111;CULTIVO DE CEREALES
FENIX LTDA.;FENIX LTDA.;74990;OTROS SERV EMPRESARIALES NCP
SOCIEDAD MINERA MOTEDE;SOCIEDAD MINERA MOTEDE;1111;CULTIVO DE CEREALES
COMPANIA COMERCIAL INDUSTRIAL BOLIVIANA;COMPANIA COMERCIAL INDUSTRIAL BOLIVIANA;51501;VTA X MAYOR MAQ, EQ, IMPL AGROPECUARIO
TOYOSA S.A.;TOYOSA S.A.;50101;VENTA DE VEHICULOS AUTOMOTORES NUEVOS
RESIDENCIAL COPACABANA;RESIDENCIAL COPACABANA;55101;SERV DE ALOJAMIENTO EN HOTELES
CROWN LTDA.;CROWN LTDA.;50101;VENTA DE VEHICULOS AUTOMOTORES NUEVOS
CERVECERIA BOLIVIANA NACIONAL S.A.;CERVECERIA BOLIVIANA NACIONAL S.A.;15530;ELAB. DE BEBIDAS MALTEADAS Y DE MALTA
EDITORA HERMENCA LTDA.;EDITORA HERMENCA LTDA.;22210;ACT. DE IMPRESIÓN
SAGIC S.A.;SAGIC S.A.;15530;ELAB. DE BEBIDAS MALTEADAS Y DE MALTA
IFEXPA LTDA.;IFEXPA LTDA.;74990;OTROS SERV EMPRESARIALES NCP
GOMATEX LTDA.;GOMATEX LTDA.;24130;FABRICN. PLÁSTICOS FORMAS PRIMARIAS Y CA
PLASTOFORM LTDA.;PLASTOFORM LTDA.;26950;FABRICN. DE ART. DE HORMIGÓN, CEMENTO Y
MOLINO ANDINO S.A.;MOLINO ANDINO S.A.;15311;PREPARACION Y MOLIENDA DE TRIGO
ASESORAMIENTO Y CONTROL DE CALIDAD S.A.;ASESORAMIENTO Y CONTROL DE CALIDAD S.A.;51341;VTA X MAYOR PROD. FARMACÉUTICOS Y MEDICI
KRYSTIN S.R.L.;KRYSTIN S.R.L.;18101;FABRICN. PRENDAS VESTIR CONFECCIONADAS,
NULO CLUB BISA LA PAZ;NULO CLUB BISA LA PAZ;74990;OTROS SERV EMPRESARIALES NCP
MOBIART S.R.L.;MOBIART S.R.L.;36101;FABRICN. MUEBLES,PARTES MUEBLES,PRINCIPA
SOCIEDAD INDUSTRIAL Y COMERCIAL LA FRANC;"SOCIEDAD INDUSTRIAL Y COMERCIAL ""LA FRANCESA"" S.A.";15411;ELAB. DE PAN
LA PRECISA LTDA.;LA PRECISA LTDA.;28110;FABRICN. PROD.METÁLICOS PARA USO ESTRUCT
SINCHI WAYRA S.A.;SINCHI WAYRA S.A.;13201;EXTRACCIÓN MINERALES METÁLICOS NO FERROS
GRUPO ALCOS S.A.;GRUPO ALCOS S.A.;24230;FABRICN. PROD.FARMACÉUTICOS,SUSTANCIAS Q
HANSA LTDA.;HANSA LTDA.;51109;VTA X MAYOR INTERMDRS DE   MERCADERÍAS N
INDUFOR S.A.;INDUFOR S.A.;22220;ACT. DE SERV RELACIONADAS CON LA IMPRESI
EMPRESA BOLIVIANA DE ADMINISTRACION S.A.;EMPRESA BOLIVIANA DE ADMINISTRACION S.A.;74140;SERV.ASESORAMIENTO Y GESTIÓN EMPRESARIAL
NULO TOYOSA S.A.;NULO TOYOSA S.A.;50101;VENTA DE VEHICULOS AUTOMOTORES NUEVOS
INTERNATIONAL BUSINESS TRADE(BOLIVIA)LTD;INTERNATIONAL BUSINESS TRADE(BOLIVIA)LIMITADA (INBUSTRADE LTDA);51509;VTA X MAYOR MAQ, EQ, IMPL ESPECIAL NCP
PANTUR S.R.L.;PANTUR S.R.L.;63041;SERV DE AGENCIAS DE VIAJES
CONSULTORES DE GERENCIA ASOCIADOS LTDA.;CONSULTORES DE GERENCIA ASOCIADOS LTDA.;74120;"SERV CONTABILIDAD Y AUDITORÍA; ASESORAMI"
TEXTURIZADORA BOLIVIANA S.R.L.;TEXTURIZADORA BOLIVIANA S.R.L.;74990;OTROS SERV EMPRESARIALES NCP
SERVITEX VILLENA S.R.L.;SERVITEX VILLENA S.R.L.;22210;ACT. DE IMPRESIÓN
CORPORACION AUTOMOTRIZ BOLIVIANA S.A.;CORPORACION AUTOMOTRIZ BOLIVIANA S.A.;50101;VENTA DE VEHICULOS AUTOMOTORES NUEVOS
MONOPOL LTDA.;MONOPOL LTDA.;24220;FABRICN. PINTURAS,REVESTIMIENTO,TINTAS I
ASOCIACION ARTESANAL DE PANIFICADORES 1;ASOCIACION ARTESANAL DE PANIFICADORES 1E;91990;SERV DE OTRAS ASOCIACIONES NCP
UNIVERSIDAD CATOLICA BOLIVIANA SAN PABLO;UNIVERSIDAD CATOLICA BOLIVIANA SAN PABLO;80302;EDUCACION SUPERIOR UNIVERSITARIA
COOP.DE AHORRO Y CREDITO LOS REMEDIOS;COOP.DE AHORRO Y CREDITO LOS REMEDIOS;67110;SERV DE ADMI. DE MERCADOS FINANCIEROS
ECCO LTDA.;ECCO LTDA.;74300;SERV DE PUBLICIDAD
IBM DE BOLIVIA S.A.;IBM DE BOLIVIA S.A.;52362;VTA X MENOR EQUIPOS INFORMÁTICOS
ILLIMANI DE COMUNICACIONES S.A.;ILLIMANI DE COMUNICACIONES S.A.;92131;SERV DE RADIO
ZEPOL LTDA;ZEPOL LTDA;21020;FABRICN. PAPEL Y CARTÓN ONDULADO Y ENVAS
CONSTRUCTORA FENIX DE SANTA CRUZ VACAFLO;CONSTRUCTORA FENIX DE SANTA CRUZ VACAFLORES CARLOS JAVIER;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
INMOBILIARIA KANTUTANI S.A.;INMOBILIARIA KANTUTANI S.A.;93030;SERV FUNERARIOS Y ACT. CONEXAS
INTERNATIONAL TRADING LTDA.;INTERNATIONAL TRADING LTDA.;74990;OTROS SERV EMPRESARIALES NCP
SUDAMER AGENTES DE BOLSA S.A.;SUDAMER AGENTES DE BOLSA S.A.;67120;SERV BURSÁTILES DE MEDIACIÓN O X CTA 3ER
CAMARA NACIONAL DE INDUSTRIAS;CAMARA NACIONAL DE INDUSTRIAS;91990;SERV DE OTRAS ASOCIACIONES NCP
AUTOMOVILES EXCLUSIVOS S.R.L.;AUTOMOVILES EXCLUSIVOS S.R.L.;50101;VENTA DE VEHICULOS AUTOMOTORES NUEVOS
INDUSTRIA EXPORTADORA BOLIVIANA S.R.L.;INDUSTRIA EXPORTADORA BOLIVIANA S.R.L.;99002;ESTUDIANTES
TECNOFARMA S.A.;TECNOFARMA S.A.;51341;VTA X MAYOR PROD. FARMACÉUTICOS Y MEDICI
BOLSA BOLIVIANA DE VALORES S.A.;BOLSA BOLIVIANA DE VALORES S.A.;67110;SERV DE ADMI. DE MERCADOS FINANCIEROS
ASOCIACION DE COOPROPIETARIOS EDIFICIO B;ASOCIACION DE COOPROPIETARIOS EDIFICIO B;74990;OTROS SERV EMPRESARIALES NCP
LA PAZ ENTIDAD FINANCIERA DE VIVIENDA;LA PAZ ENTIDAD FINANCIERA DE VIVIENDA;65193;SERV DE LAS COOPERATIVAS DE AHORRO Y CRÉ
ORBOL S.A.;ORBOL S.A.;36910;FABRICN. DE JOYAS Y ART. CONEXOS
INCADEX S.A.;INCADEX S.A.;15432;ELAB. DE CHOCOLATES Y PROD. DE CHOCOLATE
SISTEMAS ELECTRONICOS S.R.L.;SISTEMAS ELECTRONICOS S.R.L.;72100;SERV DE CONSULTORES EN EQUIPO DE INFORMÁ
TERMODINAMICA LTDA.;TERMODINAMICA LTDA.;51107;VTA X MAYOR INTERMDRS MAQUINARIA, EQUIPO
FUNDACION PARA EL DESARROLLO SOSTENIBLE;"FUNDACION PARA EL DESARROLLO SOSTENIBLE ""FUNDES BOLIVIA""";74120;"SERV CONTABILIDAD Y AUDITORÍA; ASESORAMI"
SEGUROS ILLIMANI S.A.;SEGUROS ILLIMANI S.A.;66010;SERVICIO DE PLANES DE SEGUROS DE VIDA
NULO CREDINFORM INTERNATIONAL DE SEGUR;NULO CREDINFORM INTERNATIONAL DE SEGUR;66010;SERVICIO DE PLANES DE SEGUROS DE VIDA
PHARMA IMPORT LTDA.;PHARMA IMPORT LTDA.;51341;VTA X MAYOR PROD. FARMACÉUTICOS Y MEDICI
NULO CORPORACION DE INVERS;NULO CORPORACION DE INVERS;50101;VENTA DE VEHICULOS AUTOMOTORES NUEVOS
HILANDERIAS BOLIVIANAS HILBO S.A.;HILANDERIAS BOLIVIANAS HILBO S.A.;17112;FABRICN. HILADOS E HILOS PARA TEJIDO Y C
NULO ASOCIACION CULTURAL Y SOCIAL;NULO ASOCIACION CULTURAL Y SOCIAL;91990;SERV DE OTRAS ASOCIACIONES NCP
LA PAPELERA S.A.;LA PAPELERA S.A.;21020;FABRICN. PAPEL Y CARTÓN ONDULADO Y ENVAS
INGELEC S.A.;INGELEC S.A.;45302;INSTALACIONES Y MANTENIMIENTO ELECTRICO
LA CASCADA S.A.;LA CASCADA S.A.;15541;ELAB. DE BEBIDAS GASEOSAS
INDUSTRIA COPACABANA S.A.;INDUSTRIA COPACABANA S.A.;15491;TOSTADO TORRADO Y MOLIENDA DE CAFE
INDUSTRIAS TEXTILES ASEA LTDA.;INDUSTRIAS TEXTILES ASEA LTDA.;17112;FABRICN. HILADOS E HILOS PARA TEJIDO Y C
DISTRIBUIDORA NISSAN BOLIVIA S.A.;DISTRIBUIDORA NISSAN BOLIVIA S.A.;50101;VENTA DE VEHICULOS AUTOMOTORES NUEVOS
ASOC. DE ARTESANOS PRODUCTORES EN ARTE;ASOC. DE ARTESANOS PRODUCTORES EN ARTE P;34300;FABRICN. PARTES,PIEZAS,ACCESORIOS P/VEHÍ
NULO PROCAF ASOBAN;NULO PROCAF ASOBAN;80220;EDUCACIÓN SECUNDARIA FORMACIÓN TÉCNICA Y
NULO INGENIERIA DE PROYECTOS Y CONST;NULO INGENIERIA DE PROYECTOS Y CONST;28110;FABRICN. PROD.METÁLICOS PARA USO ESTRUCT
TURISMO BALSA LTDA.;TURISMO BALSA LTDA.;63041;SERV DE AGENCIAS DE VIAJES
SPECTRUM S.R.L.;SPECTRUM S.R.L.;52395;VTA X MENOR PAPELES P/PARED, REVESTIMIEN
COMPANIA DE SERVICIOS INTERNACIONALES LT;COMPANIA DE SERVICIOS INTERNACIONALES LTDA;51109;VTA X MAYOR INTERMDRS DE   MERCADERÍAS N
PROMOTORA DE EVENTOS S.A.;PROMOTORA DE EVENTOS S.A.;55209;OTROS SERV DE EXPENDIO DE COMIDAS NCP.
FABRICA MANUFACTURERA TEXTIL LTDA.;FABRICA MANUFACTURERA TEXTIL LTDA.;17111;PREPARACIÓN Y PEINADO DE FIBRAS TEXTILES
INDUSTRIAS DE PLASTICOS SAN JORGE;INDUSTRIAS DE PLASTICOS SAN JORGE;24130;FABRICN. PLÁSTICOS FORMAS PRIMARIAS Y CA
INDUSTRIAS CANELAS LTDA.;INDUSTRIAS CANELAS LTDA.;22220;ACT. DE SERV RELACIONADAS CON LA IMPRESI
FABRICA DE MUEBLES CASA BELLA LTDA.;FABRICA DE MUEBLES CASA BELLA LTDA.;99002;ESTUDIANTES
COOP.AGROPECUARIA INTEGRAL NOR ESTE LTD;COOP.AGROPECUARIA INTEGRAL NOR ESTE LTDA;99002;ESTUDIANTES
CASA FALCON DE LINARES MARISCAL EDGAR;CASA FALCON DE LINARES MARISCAL EDGAR;99002;ESTUDIANTES
BISA SEGUROS Y REASEGUROS SA;BISA SEGUROS Y REASEGUROS SA;66030;SERV OTROS PLANES SEGUROS EXCEPTO DE VID
INGENIEROS CONSULTORES BOLIVIANOS LTDA.;INGENIEROS CONSULTORES BOLIVIANOS LTDA.;99002;ESTUDIANTES
AGROMAN EMPRESA CONSTRUCTORA S.A.;AGROMAN EMPRESA CONSTRUCTORA S.A.;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
EMPRESA MINERA INDUSTRIAL Y COMERCIAL;EMPRESA MINERA INDUSTRIAL Y COMERCIAL LAMBOL S.A.;14290;EXPLOTACION DE OTRAS MINAS Y CANTERAS NC
INTERNATIONAL FINANCE CORPORATION;INTERNATIONAL FINANCE CORPORATION;67110;SERV DE ADMI. DE MERCADOS FINANCIEROS
ASOCIACION ARTESANAL PANIFICADORES PROG;ASOCIACION ARTESANAL PANIFICADORES PROGR;91990;SERV DE OTRAS ASOCIACIONES NCP
LA PRIMERA ENTIDAD FINANCIERA DE VIVIEND;LA PRIMERA ENTIDAD FINANCIERA DE VIVIENDA;65191;SERV DE LAS ENTIDADES BANCARIAS
BOLIVIAN AUTO MOTORS S.A.;BOLIVIAN AUTO MOTORS S.A.;71110;ALQ. EQUIPO TRANSPORTE X VÍA TERRESTRE S
ALMACENES INTERNACIONALES S.A. (RAISA);ALMACENES INTERNACIONALES S.A. (RAISA);63020;SERVICIO DE ALMACENAMIENTO Y DEPOSITO
EMPRESA MINERA INTI RAYMI S.A.;EMPRESA MINERA INTI RAYMI S.A.;13202;EXTRACCION DE METALES PRECIOSOS
SOCIEDAD AGROINDUSTRIAL DEL VALLE LTDA.;SOCIEDAD AGROINDUSTRIAL DEL VALLE LTDA.;15511;DESTILACION DE ALCOHOL ETILICO
FOQUS S.R.L.;FOQUS S.R.L.;64209;SERV TRANSMISIÓN SONIDO,IMÁGENES,DATOS U
NACIONAL DE ALIMENTOS S.R.L.;NACIONAL DE ALIMENTOS S.R.L.;51103;VTA X MAYOR INTERMDRS ALIMENTOS, BEBIDAS
IMPORTADORA FENIX;IMPORTADORA FENIX;99002;ESTUDIANTES
ENDE VALLE HERMOSO S.A.;ENDE VALLE HERMOSO S.A.;40102;PRODUCCION DE ENERGIA TERMICA CONVENCION
COOPERATIVA DE AHORRO Y CREDITO SAN ANTO;COOPERATIVA DE AHORRO Y CREDITO SAN ANTONIO;65193;SERV DE LAS COOPERATIVAS DE AHORRO Y CRÉ
NULO INDUSTRIAS VASCAL S.A.;NULO INDUSTRIAS VASCAL S.A.;15541;ELAB. DE BEBIDAS GASEOSAS
INDUSTRIAS KIMS LTDA;INDUSTRIAS KIMS LTDA;25209;FABRICN. PROD. PLÁSTICOS FORMAS BÁSICAS
ACRIBOL LTDA.;ACRIBOL LTDA.;17111;PREPARACIÓN Y PEINADO DE FIBRAS TEXTILES
SERVICIOS DE INGENIERIA BOLIVIANA LTDA.;SERVICIOS DE INGENIERIA BOLIVIANA LTDA.;99002;ESTUDIANTES
OPTICA MEDICA S.R.L.;OPTICA MEDICA S.R.L.;85122;SERV DE CONSULTAS MÉDICAS
GRAN LOGIA DE BOLIVIA;GRAN LOGIA DE BOLIVIA;74990;OTROS SERV EMPRESARIALES NCP
NULO TOYOTA BOLIVIAN LTDA.;NULO TOYOTA BOLIVIAN LTDA.;50101;VENTA DE VEHICULOS AUTOMOTORES NUEVOS
COMERCIAL BOLIVIANO GERMANO S.A.;COMERCIAL BOLIVIANO GERMANO S.A.;50101;VENTA DE VEHICULOS AUTOMOTORES NUEVOS
SKANDINAVISKA ENSKILDA BANKEN;SKANDINAVISKA ENSKILDA BANKEN;65191;SERV DE LAS ENTIDADES BANCARIAS
NULO BANCO LATINO S.A.;NULO BANCO LATINO S.A.;98000;SERV.ORGANIZACIONES Y ÓRGANOS EXTRATERRI
BOLIVIAN INVESTMENT CORPORATION S.A.;BOLIVIAN INVESTMENT CORPORATION S.A.;65990;OTRO TIPO SERV INTERMEDIACIÓN FINANCIERA
POLAR TEXTIL S.A.;POLAR TEXTIL S.A.;17210;FABRICN. ART. CONFECCIONADOS TEXTILES, E
EMPRESA COMERCIALIZADORA DE SAL Y ALIME;EMPRESA COMERCIALIZADORA DE SAL Y ALIMEN;99002;ESTUDIANTES
COMERCIO EXTERIOR PARA BOLIVIA LTDA.;COMERCIO EXTERIOR PARA BOLIVIA LTDA.;51229;VTA X MAYOR PROD. ALIMENTICIOS NCP
BANCO DE BOSTON S.A.;BANCO DE BOSTON S.A.;98000;SERV.ORGANIZACIONES Y ÓRGANOS EXTRATERRI
FIDEOS SANTA ROSA DE MARIA PARY;FIDEOS SANTA ROSA DE MARIA PARY;15441;ELAB. DE PASTAS ALIMENTICIAS SECAS
MKT MARKETING S.R.L.;MKT MARKETING S.R.L.;74300;SERV DE PUBLICIDAD
FUNDACION PRO ANDES;FUNDACION PRO ANDES;85322;SERV SOC ORIENTACIÓN Y ASESORAMIENTO SIN
EXPLOTACION Y PROMOCION MINERA S.A;EXPLOTACION Y PROMOCION MINERA S.A;74213;SERV GEOLÓGICOS Y  DE PROSPECCIÓN MINERA
BANCO BISA S.A;BANCO BISA S.A.;65110;SERV DE LA BANCA CENTRAL
CAJA NACIONAL DE SALUD;CAJA NACIONAL DE SALUD;85110;SERV HOSPITALARIOS
JOSDO LTDA.;JOSDO LTDA.;50300;VENTA PARTES Y ACCESORIOS VEHÍCULOS AUTO
INDUSTRIAS VENADO S.A.;INDUSTRIAS VENADO S.A.;15499;ELAB. DE PROD. ALIMENTICIOS NCP
FINATEX DE MENDOZA CHOQUE CRISTINA;FINATEX DE MENDOZA CHOQUE CRISTINA;17302;FABRICN. DE CHOMPAS Y ART. SIMILARES DE
VIPEL S.R.L.;VIPEL S.R.L.;51329;VTA X MAYOR PAPEL,CARTÓN,EMBALAJE,LIBRER
COMPANIA MINERA LATINA S.R.L.;COMPANIA MINERA LATINA S.R.L.;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
PERTEX;PERTEX;99002;ESTUDIANTES
CORPORACION TRANSANDINA S.R.L.;CORPORACION TRANSANDINA S.R.L.;85311;SERV SISTENCIA SOCIAL A NIÑOS CON ALOJAM
IMLUBOL S.R.L.;IMLUBOL S.R.L.;51412;VTA X MAYOR COMBUSTIBLES EXCEPTO AUTOS:G
BANCO BISA S.A.;BANCO BISA S.A.;65191;SERV DE LAS ENTIDADES BANCARIAS
COMPANIA MOLINERA BOLIVIANA S.A.;COMPANIA MOLINERA BOLIVIANA S.A.;15311;PREPARACION Y MOLIENDA DE TRIGO
EMPRESA CONSTRUCTORA RODVEL S.R.L.;EMPRESA CONSTRUCTORA RODVEL S.R.L.;45201;CONSTRUCCIÓN Y REPARACIÓN DE EDIFICIOS
LATINOAMERICANA DE INVERSIONES S.A.;LATINOAMERICANA DE INVERSIONES S.A.;20210;FABRICN. HOJAS MADERA ENCHAPADO TABLEROS
CARGOS SERVICE S.R.L.;CARGOS SERVICE S.R.L.;60230;SERV. TRANSPORTE AUTOMOTOR CARGA X CARRE
CURTIEMBRE ANDINA S.A.;CURTIEMBRE ANDINA S.A.;51213;VTA X MAYOR CUEROS Y PIELES
ALMACENES CRUCENOS S.A.;ALMACENES CRUCENOS S.A.;75110;ADMI. PÚBLICA
FINNING BOLIVIA S.A.;FINNING BOLIVIA S.A.;51504;VTA X MAYOR EQUIPOS CONSTRUCCIÓN E ING C
GISMART S.R.L.;GISMART S.R.L.;51433;VTA X MAYOR ART. DE FERRETERÍA, FONTANER
NULO BANCO CAFETERO S.A.;NULO BANCO CAFETERO S.A.;98000;SERV.ORGANIZACIONES Y ÓRGANOS EXTRATERRI
MARINE MIDLAND BANK;MARINE MIDLAND BANK;98000;SERV.ORGANIZACIONES Y ÓRGANOS EXTRATERRI
NULO KETAL S.A.;NULO KETAL S.A.;52111;VTA X MENOR EN SUPERMERCADOS CON SURTIDO
CAJA DE SALUD DE LA BANCA PRIVADA;CAJA DE SALUD DE LA BANCA PRIVADA;85110;SERV HOSPITALARIOS
KALIFRA LTDA.;KALIFRA LTDA.;45301;INSTALACIÓN ASCENSORES, MONTACARGAS Y ES
DATACOM S.R.L.;DATACOM S.R.L.;64201;SERV DE TRANSMISIÓN DE DATOS Y MENSAJES
BRITISH MOTORS BOLIVIA S.R.L.;BRITISH MOTORS BOLIVIA S.R.L.;99002;ESTUDIANTES
VANGUARD LTDA.;VANGUARD LTDA.;50300;VENTA PARTES Y ACCESORIOS VEHÍCULOS AUTO
EXPORTACIONES E IMPORTACIONES BOLIVIA SR;EXPORTACIONES E IMPORTACIONES BOLIVIA SRL;51334;VTA X MAYOR ARTEFACTOS PARA EL HOGAR, EL
SISTEMAS DE IMPORTACION Y SERVICIOS LTDA;SISTEMAS DE IMPORTACION Y SERVICIOS LTDA;52362;VTA X MENOR EQUIPOS INFORMÁTICOS
PANAMERICAN SECURITIES S.A.;PANAMERICAN SECURITIES S.A.;67120;SERV BURSÁTILES DE MEDIACIÓN O X CTA 3ER
BOLIVIAN TRACTOR LTDA.;BOLIVIAN TRACTOR LTDA.;51501;VTA X MAYOR MAQ, EQ, IMPL AGROPECUARIO
INSTITUTO BOLIVIANO DE NORMALIZACION Y C;INSTITUTO BOLIVIANO DE NORMALIZACION Y CALIDAD IBNORCA;74140;SERV.ASESORAMIENTO Y GESTIÓN EMPRESARIAL
NOVARA S.R.L.;NOVARA S.R.L.;74990;OTROS SERV EMPRESARIALES NCP
TOTES LTDA.;TOTES LTDA.;74930;SERV DE LIMPIEZA DE EDIFICIOS
COMPAÑIA BOLIVIANA DE ENERGIA ELECTRICA;COMPAÑIA BOLIVIANA DE ENERGIA ELECTRICA S.A. BOLIVIAN POWER COMPANY LIMITED SUCU;40101;PRODUCCION DE ENERGIA HIDRAULICA
BANCO UNION S.A.;BANCO UNION S.A.;65191;SERV DE LAS ENTIDADES BANCARIAS
AUTOCENTRO S.A.;AUTOCENTRO S.A.;50300;VENTA PARTES Y ACCESORIOS VEHÍCULOS AUTO
COMERCIO E INDUSTRIA DE MANUF.ACERO GIS;COMERCIO E INDUSTRIA DE MANUF.ACERO GISB;27310;FUNDICIÓN DE HIERRO Y ACERO
BISA S.A. AGENCIA DE BOLSA;BISA S.A. AGENCIA DE BOLSA;67120;SERV BURSÁTILES DE MEDIACIÓN O X CTA 3ER
DISTRIBUIDORA HISBOL;DISTRIBUIDORA HISBOL;22210;ACT. DE IMPRESIÓN
TALLERES GRAFICOS HISBOL;TALLERES GRAFICOS HISBOL;22210;ACT. DE IMPRESIÓN
AMERICAN BOLIVIA LTDA.;AMERICAN BOLIVIA LTDA.;51334;VTA X MAYOR ARTEFACTOS PARA EL HOGAR, EL
GRAFIKA IMPRESORES;GRAFIKA IMPRESORES;22110;EDICIÓN DE LIBROS, FOLLETOS, PARTITURAS
J.A. SERVICIOS S.R.L.;J.A. SERVICIOS S.R.L.;60230;SERV. TRANSPORTE AUTOMOTOR CARGA X CARRE
CORPORACION INDUSTRIAL Y DE SERVICIOS B;CORPORACION INDUSTRIAL Y DE SERVICIOS BO;74930;SERV DE LIMPIEZA DE EDIFICIOS
LARCOS S.R.L.;LARCOS S.R.L.;52399;VTA X MENOR OTROS PROD.ALMACENES ESPECIA
LUBRICENTRO BOLIVIA S.R.L.;LUBRICENTRO BOLIVIA S.R.L.;51411;VTA X MAYOR COMBUSTIBLES PARA AUTOS
LAHMEYER INTERNATIONAL G.M.B.H.;LAHMEYER INTERNATIONAL G.M.B.H.;74140;SERV.ASESORAMIENTO Y GESTIÓN EMPRESARIAL
BOSQUES DEL NORTE S.R.L.;BOSQUES DEL NORTE S.R.L.;3004;SERV FORESTALES DE EXTRACCIÓN DE MADERA
FABRICA DE FIAMBRES Y EMBUTIDOS OSFIM DE;FABRICA DE FIAMBRES Y EMBUTIDOS OSFIM DE FIGUEREDO ESPEJO JAVIER OSCAR;15113;ELAB. DE FIAMBRES Y EMBUTIDOS
CARMAR LTDA.;CARMAR LTDA.;24290;FABRICN. DE OTROS PROD. QUÍMICOS NCP
BASE METAL SYNERGY BOLIVIA S.A.;BASE METAL SYNERGY BOLIVIA S.A.;74990;OTROS SERV EMPRESARIALES NCP
NULO BISA S.A AGENTE DE BOLSA;NULO BISA S.A AGENTE DE BOLSA;67120;SERV BURSÁTILES DE MEDIACIÓN O X CTA 3ER
TECNO PLASTICA ORIENTAL S.A.;TECNO PLASTICA ORIENTAL S.A.;24300;FABRICN. DE FIBRAS MANUFACTURADAS
CIA. IMP. DE AUTOMOTORES M. CSAPEK S.A.;CIA. IMP. DE AUTOMOTORES M. CSAPEK S.A.;50101;VENTA DE VEHICULOS AUTOMOTORES NUEVOS
CARGANDINA PERU S.A SUCURSAL BOLIVIA;CARGANDINA PERU S.A SUCURSAL BOLIVIA;63010;SERV DE MANIPULACIÓN DE LA CARGA
MATRIPLAST S.A.;MATRIPLAST S.A.;24130;FABRICN. PLÁSTICOS FORMAS PRIMARIAS Y CA
BANCO AMERICA DO SUL S.A.;BANCO AMERICA DO SUL S.A.;99002;ESTUDIANTES
NULO BANCO DE VALENCIA S.A.;NULO BANCO DE VALENCIA S.A.;99002;ESTUDIANTES
SAN CARLO LTDA.;SAN CARLO LTDA.;51311;VENTA X MAYOR PROD.TEXTILES EXCEPTO PREN
EMPRESA CONSTRUCTORA LATINOAMERICANA LTD;EMPRESA CONSTRUCTORA LATINOAMERICANA LT;45202;CONSTRUCCIÓN Y REPARACIÓN INFRAESTRUCTUR
BANCO DE CHILE;BANCO DE CHILE;65191;SERV DE LAS ENTIDADES BANCARIAS
NULO HAMILTON BANK N.A.;NULO HAMILTON BANK N.A.;98000;SERV.ORGANIZACIONES Y ÓRGANOS EXTRATERRI
BANCO DE LIMA S.A.;BANCO DE LIMA S.A.;98000;SERV.ORGANIZACIONES Y ÓRGANOS EXTRATERRI
NULO BANCO EXTERIOR DE LOS ANDES Y DE;NULO BANCO EXTERIOR DE LOS ANDES Y DE;99002;ESTUDIANTES
ASOCIACION DE LINEAS AEREAS BOLIVIA;ASOCIACION DE LINEAS AEREAS BOLIVIA;63032;SERV. COMPL. PARA EL TRANSPORTE AÉREO
LA VICTORIA S.R.L.;LA VICTORIA S.R.L.;52361;VTA X MENOR MAQUINARIA OFICINA Y CONTABI
COMPANIA AMERICANA DE CONSTRUCCIONES S.A;COMPANIA AMERICANA DE CONSTRUCCIONES S.A.;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
PROD DENTAL LTDA.;PROD DENTAL LTDA.;52313;VTA X MENOR ART.MÉDICOS,ODONTOLÓGICOS Y
ROTARY CLUB MIRAFLORES;ROTARY CLUB MIRAFLORES;91990;SERV DE OTRAS ASOCIACIONES NCP
CENTRO DE INFORMACION Y DESARROLLO DE L;CENTRO DE INFORMACION Y DESARROLLO DE L;85323;SERV SOCIALES DE ORIENTACIÓN FAMILIAR
CHUQUIAGO ELECTROIMPORT DE ITURRY JIMENE;CHUQUIAGO ELECTROIMPORT DE ITURRY JIMENEZ FIDEL;51399;VTA X MAYOR ART. DE USO DOMÉSTICO Y/O PE
FABRICA METALURGICA HERESI;FABRICA METALURGICA HERESI;28991;FABRICN. DE ENVASES DE PROD. METÁLICOS
HERBOL LTDA.;HERBOL LTDA.;99002;ESTUDIANTES
EDITORIAL LUX;EDITORIAL LUX;22220;ACT. DE SERV RELACIONADAS CON LA IMPRESI
SOCIEDAD MINERA ILLIMANI LTDA;SOCIEDAD MINERA ILLIMANI LTDA;13201;EXTRACCIÓN MINERALES METÁLICOS NO FERROS
EMPRESA MINERA BARROSQUIRA LTDA.;EMPRESA MINERA BARROSQUIRA LTDA.;51420;VTA X MAYOR METALES Y MINERALES METALÍFE
