Nombre;Nombre Largo;CAEDED;Descripcion
GRUPO ALCOCER DENNIS;GRUPO ALCOCER DENNIS DE ALCOCER ZAPATA NESTOR DENNIS;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
EMPRESA MINERA SOMINOR S.R.L.;EMPRESA  MINERA SOMINOR S.R.L.;13202;EXTRACCION DE METALES PRECIOSOS
GRUPOCTO BOLIVIA S.R.L.;GRUPOCTO BOLIVIA S.R.L.;80303;EDUCACIÓN SUPERIOR,ESPECIALIZACIÓN, POST
EUROTOURS S.R.L.;EUROTOURS S.R.L.;71110;ALQ. EQUIPO TRANSPORTE X VÍA TERRESTRE S
CORE LABORATORIES INTERNATIONAL B.V.;CORE LABORATORIES INTERNATIONAL B.V.;11200;ACT. DE SERV RELACIONADAS PETRÓLEO Y GAS
INSTALACIONES Y RECURSOS FERROVIARIOS S.;INSTALACIONES Y RECURSOS FERROVIARIOS S.L. SUCURSAL BOLIVIA;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
INVESTECH DE OROPEZA GOMEZ DIEGO FAVIAN;INVESTECH DE OROPEZA GOMEZ DIEGO FAVIAN;51107;VTA X MAYOR INTERMDRS MAQUINARIA, EQUIPO
SUPER ABASTO SUR LIMITADA SAS LTDA.;SUPER ABASTO SUR LIMITADA SAS LTDA.;52111;VTA X MENOR EN SUPERMERCADOS CON SURTIDO
MR. FOOD S.R.L.;MR. FOOD S.R.L.;55203;SERV.EXPENDIO COMIDAS EN POLLOS BROASTER
SUELOYAGUA S.R.L.;SUELOYAGUA S.R.L.;1401;ACT. DE SERV AGRÍCOLAS
ALMACENES EMPTIES HUB S.A.;COMPAÑIA DE ALMACENES EMPTIES HUB S.A.;63020;SERVICIO DE ALMACENAMIENTO Y DEPOSITO
PETRODRILLING SERVICIOS PETROLEROS S.A.;PETRODRILLING SERVICIOS PETROLEROS S.A.;11200;ACT. DE SERV RELACIONADAS PETRÓLEO Y GAS
TRANSCORONA S.R.L.;TRANSCORONA S.R.L.;63090;SERV.APOYO Y LOGÍSTICA AG DE TRANSPORTE
ORGANIZACION NO GUBERNAMENTAL CONEXION;ORGANIZACION NO GUBERNAMENTAL CONEXION;75120;REGULACIÓN DE ACT.DE ORGANISMOS EDUC,CUL
ESTACION DE SERVICIO SOMOS GAS SRL.;ESTACION DE SERVICIO SOMOS GAS SRL;40202;DISTRIBUCION DE COMBUSTIBLES GASEOSOS
COMERCIO INDUSTRIAL ALVARADO CAMPOS DE R;COMERCIO INDUSTRIAL ALVARADO CAMPOS DE RODRIGO ALVARADO CAMPOS;0;
NOUJAU S.R.L.;NOUJAU S.R.L.;74140;SERV.ASESORAMIENTO Y GESTIÓN EMPRESARIAL
CALIGRAN BOLIVIA S.R.L.;CALIGRAN BOLIVIA S.R.L.;3004;SERV FORESTALES DE EXTRACCIÓN DE MADERA
HANSOL S.R.L.;HANSOL METALS  COMPANY S.R.L.;27100;INDUSTRIAS BÁSICAS DE HIERRO Y ACERO
MINTAR S.R.L;MINTAR S.R.L;11200;ACT. DE SERV RELACIONADAS PETRÓLEO Y GAS
BASPEL LTDA;BASPEL LTDA;1401;ACT. DE SERV AGRÍCOLAS
CHACINADOS Y CARNES S.R.L.;CHACINADOS Y CARNES S.R.L.;0;
OTOMATI S.R.L.;OTOMATI S.R.L.;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
BIGICORP LIMITADA;SOCIEDAD INVERSIONES INTERNACIONALES BIGICORP LIMITADA (SUCURSAL BOLIVIA);75231;ACT. DE SERV JUDICIALES Y DE JUSTICIA
RETAIL BOLIVIA S.A.;IMPORTACIONES Y REPRESENTACIONES RETAIL BOLIVIA S.A.;51339;VTA X MAYOR ART. PARA EL HOGAR NCP
RACUZA S.R.L.;RACUZA S.R.L.;50101;VENTA DE VEHICULOS AUTOMOTORES NUEVOS
LEGAL EXPERTISE S.R.L.;LEGAL EXPERTISE S.R.L.;74140;SERV.ASESORAMIENTO Y GESTIÓN EMPRESARIAL
GRUPO ARBOLNUEVO S.R.L.;GRUPO ARBOLNUEVO S.R.L.;45201;CONSTRUCCIÓN Y REPARACIÓN DE EDIFICIOS
IGBLUE S.R.L;IGBLUE S.R.L;0;
SER SOLUTIONS IBERIA S.L.;SER SOLUTIONS IBERIA S.L.;72400;SERV RELACIONADOS CON BASES DE DATOS
INGENIERIA Y DESARROLLO INMOBILIARIO;INGENIERIA Y DESARROLLO INMOBILIARIO DE MEXICO SOCIEDAD ANONIMA DE CAPITAL VARIA;70202;SERV DE ADMI. INMOBILIARIA DE BIENES INM
INCOCRUZ SRL;INCOCRUZ SRL;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
